id,author_name,last_updated,rating,version,title,content,intention,classified intention
4290057093,DeeMoneytalkz,2025-07-11T10:41:47-07:00,5,21.0.2,Best Company,I love shopping with Verizon! They’re helpful and great customer service!!!,Positive customer experience,General Feedback
4289032310,mthrtruckr1,2025-07-11T05:35:16-07:00,3,21.0.2,Challenge to register,"Sent in loops to register. Answer to secret question had spaces which weren’t allowed during verification, nightmare. The. account number not emailed in Verizon correspondence so one time payment without logging in wasn’t possible.  30 minutes waiting for live agent. Today I finally got a live agent who assisted me wonderfully. Please add more live agents. Ann was way more helpful than any chat bot or recording can be.",Troublesome registration process.,technical/platform issues
4288934312,Lo____Lo,2025-07-11T05:03:52-07:00,1,21.0.2,Me page continually loads,Can’t pay bill via Me page. Just continually loads . Thanks Verizon …………………..,Cannot pay bill,Account & Billing
4287950128,Tehun,2025-07-10T22:27:20-07:00,1,21.0.2,So many bugs,"This is one of the worst tech apps I’ve ever used… and it’s from a huge tech company! Connectivity is spotty at best, I can’t watch any of my DVR content on a mobile device without being on my home WiFi. The entire login keeps collapsing without notice. The mobile remote control is a joke. Verizon should be ashamed",Negative feedback/complaint,General Feedback
4286923402,_nomadico,2025-07-10T15:23:46-07:00,1,21.0.2,Trash,The app does not work!!,App not working,technical/platform issues
4286570009,Carolmarie10,2025-07-10T13:09:15-07:00,5,21.0.2,Amazing,This is the first time I’ve ever been able to make changes to my account via online or app.  So great!,"Positive, account access",Account & Billing
4285785942,seattllee,2025-07-10T08:53:03-07:00,1,21.0.2,Verizon is a terrible provider.,Last year I had to freeze my account going overseas and they attempted to charge me international fees multiple times even know they knew about my situation. I had to call them 6 different times to re freeze my account and now they’re attempting to smear my credit by sending those false charges to collections. Terrible company.,Negative experience/Complaint,Customer Support
4285699098,evilpettingzoo27,2025-07-10T08:27:40-07:00,1,21.0.2,Slow and Bloated,"Remarkable for a communications company how difficult Verizon makes it to find any useful information about my accounts. Pertinent account information is shifted nearly monthly. And this whole thing is a giant sales app. I understand they want me to purchase new products and services, but it’s nearly impossible to access the services and features that I do have.",Frustrated with app.,technical/platform issues
4285636561,Michael Blah,2025-07-10T08:09:48-07:00,1,21.0.2,Upgrade annoyance,"After receiving a notification on my Verizon app. I cannot figure out how to clear it in the app. Persistent notifications on my home screen annoy me. This is going to prompt me to remove the Verizon app from my phone. Having those red numbers hovering over the app is beneficial to alert the user, but should be easy to acknowledge",Clear notification annoyance,General Feedback
4285375956,Pavan Katukala,2025-07-10T06:55:39-07:00,1,21.0.2,Worst network ever,"I have paid off my phone but to unlock the carrier lock sim lock it is 8 days, and when I called customer service they are very rude no help bad network I post this on every social media",Unlocking carrier lock,Customer Support
4285235159,BUCWILE,2025-07-10T06:14:50-07:00,1,21.0.2,Terrible service,"3 days to receive emails, dropped calls, and zero reception, no matter how much money i spend, Plymouth Wisconsin has zero reception. I have to pay for two cellphones to operate my business so i can get reception in Plymouth Wi. Terrible reception $240 to use my apps so i can make $12 an hour!",Customer intention: Poor reception,Technical/platform issues
4285140420,Flacox171,2025-07-10T05:46:20-07:00,5,21.0.2,New Update,"With the new update the layout is user friendly, extremely helpful and much more efficient than it was before.",Positive update feedback,General Feedback
4284782619,RG Harley,2025-07-10T03:47:26-07:00,1,21.0.2,Admin,Not user friendly when you are traveling outside of the states.,Negative travel experience.,General Feedback
4284670167,bunnieboi,2025-07-10T03:04:44-07:00,5,21.0.2,Best company,9 years strong with great connection,"Positive, long-term experience",General Feedback
4283886294,Da'Greatest PERIOD,2025-07-09T21:36:11-07:00,5,21.0.2,The Best,I am grateful for Verizon,Expresses gratitude,General Feedback
78982492,BK8815,2025-08-01T10:32:01-07:00,4,21.0.2,Not the best but okay,Just can be very slow loading the app,App loading slow,technical/platform issues
78943250,BrianOx,2025-08-01T10:20:04-07:00,1,21.0.2,Terrible security,Mobile passwords reset loop when trying to make payment is infuriating. Quit making it hard for people to give you money,Wants easier payment,Account & Billing
78887968,D. Madge,2025-08-01T10:03:27-07:00,1,21.0.2,Glitchy app,"App always glitches out the local password rewards are a joke. You can virtually never claim one. We’ve tried for several years and only gotten one used to get monthly rewards now they are rarely on there at all. Plus, it’s a joke trying to get a hold of customer service. Verizon has gone downhill so much. It’s not even funny. I’ve been thinking about leaving the company since they just keep raising prices and keep giving you horrible service and customer service .",Negative experience; leaving.,Customer Support
78502381,Alfaro’s Vineyards,2025-08-01T08:13:33-07:00,5,21.0.2,Best Service Ever,App is so easy to use and very helpful. Self explanatory and straightforward. Thank you Verizon!,Appreciation for service,Customer Support
76697356,DJShmruda,2025-07-31T21:59:54-07:00,5,21.0.2,Great,Great,Positive experience,General Feedback
76448650,SamNY101,2025-07-31T20:18:32-07:00,1,21.0.2,Slow Buggy App,"You'd expect Verizon to have a solid loading speed in app, but no it's the buggiest app I'm ever needing to use. Phone and app on updated version. But Verizon will always take 10-15 times longer to load. Unreal.",Complaining about app performance,technical/platform issues
76424230,IfYuKnow,2025-07-31T20:09:02-07:00,1,21.0.2,Verizon is the worst,Zero customer support. Their chat service doesn’t work. Cancelling my services after 20 years as a customer.,Cancelling services,Customer Support
76331478,Jbeezi93,2025-07-31T19:33:23-07:00,1,21.0.2,Slow app,Too slow. Very frustrating,Expressing app frustration,Technical/platform issues
76204155,Longtime(now frustrated) User,2025-07-31T18:45:57-07:00,1,21.0.2,Too many bugs,"What’s changed to the app to make it so glitchy? I’ve never experienced the issues I’ve been experiencing lately. Too many bugs, loops, roadblocks and dead links. It’s also constantly spinning and crashing. Something needs to change!",Needs app fixes,technical/platform issues
76125204,New App User17,2025-07-31T18:16:16-07:00,1,21.0.2,Endless loop,"Cannot access the My Verizon app. When I try to log on, it pops up my initial online order, with a message that says that I will be able to access the app, once the “owner’s” phone is activated. The “owner’s” phone was activated 2 weeks ago. Seems like the app is designed to sell you more stuff rather than assist you with your account.",App access issues,technical/platform issues
75895566,CookieMonster3301,2025-07-31T16:47:56-07:00,1,21.0.2,Phone Support,"Fix your phone support, why does it take 2 hours to activate internet. They need to get rid of their AI completely and stop relying on phone support to activate devices. Why can’t I just do it on my own so I don’t have to deal with this circus of a system???",Needs faster activation.,Customer Support
75508865,String Ring,2025-07-31T14:18:10-07:00,5,21.0.2,Usually easy,"I didn't have any problem changing my plan and adding perks. I have had varied results with the chat, but those results were because of the representative. I haven't been to a Verizon store in years because I've been able to do everything with the app. It's great being able to take my time to make decisions instead of listening to a representative.",Positive experience with app,General Feedback
75061216,laurenmarie05,2025-07-31T11:44:02-07:00,1,21.0.2,Wish it would work!,"For whatever reason, it stopped working a month ago. Now it just says “Unable to process your request” every time I try and open it.","Disappointed, not working.",technical/platform issues
72287795,Marthanna,2025-07-30T20:15:18-07:00,5,21.0.2,Great app!   Love Verizon.,"I just upgraded my phone today and totally happy with how easy it was… I’m not a paid shill, but I have to say I never have problems with Verizon.   Solid service and the app is easy to use - recent update has made it even better.","Positive experience, satisfied.",General Feedback
71222813,jlcorn,2025-07-30T13:33:12-07:00,5,21.0.2,Easy!,"We currently found it so much quicker and easier to use the Verizon app online, rather than try to deal in person with the people at our Verizon dealer store. We don’t have an actual Verizon store in Park City, Utah and the folks at the Verizon dealer store are mean and nasty young kids! We spent several hours trying to get a new phone this morning and we’re quoted almost $40 a month more , than the Verizon app came up with! So the Verizon app is definitely the way to go!",App experience preferred,General Feedback
71129859,Louie the Frenchie,2025-07-30T13:00:51-07:00,5,21.0.2,Verizon makes it Easy,I was able to order service for my IPad so easily online through my Verizon account app. No hassle of running all the way to the city store. Love this app.,"Positive experience, easy.",General Feedback
70863270,cowbkh,2025-07-30T11:32:25-07:00,1,21.0.2,This app needs a remodel.,They give you the bare bum minimum information on their app. Pretty buggy and minimal tools to review your plans.,Needs app improvement,Technical/platform issues
70422701,PORT3RMAN,2025-07-30T09:19:22-07:00,1,21.0.2,THE WORST!,"AS SOON AS MY DEVICES ARE PAID-OFF, I AM OUT!",Canceling service soon.,Customer Support
67452770,66 dude,2025-07-29T16:01:47-07:00,1,21.0.2,Difficult to login and pay bill,"The mobile application does not have MFA and it is very difficult to login. It gives you too many options to login with account number and ZIP Code with other options as well and it’s just very confusing and a very poor user experience.
I should be able to open the app go right to a billing feature. Pay my bill and be done with it. That’s three steps maybe four if  you count being done with it.","Simplify login, pay bill",Account & Billing
67159809,Fbwifhrbdifjwnskfb,2025-07-29T14:08:50-07:00,1,21.0.2,Glitchy,App is super glitchy and will not allow me to complete an order.,Cannot complete order,technical/platform issues
67125136,BQuinn99,2025-07-29T13:56:01-07:00,1,21.0.2,Service has gone down the drain ..,"I’ve been with Verizon for years. Service has gone seriously downhill, while we all pay a premium rate for AI chat bots to misunderstand everything you needed, then refuse to let you sign in as it sends text “verifications” to some other number that isn’t even on the account. Any guesses how well that works out? Time to get to shopping for better service.",Switching providers.,Account & Billing
67123736,Rickii 1,2025-07-29T13:55:29-07:00,5,21.0.2,Rico,Love their customer service. One of the best so far.,Praising customer service.,Customer Support
66674430,ZbReview,2025-07-29T11:22:46-07:00,1,21.0.2,So Buggy,"Buggy, inconsistent, unresponsive, minimalistic but in the annoying way that makes it just super useless. Consistently shows a blank page when it loads. I have to click on “more” and then “account”. Hard to find anything. Not to the standard a major teleCOMMUNICATIONs company should have.",Negative app experience,technical/platform issues
66018859,snotlarc,2025-07-29T08:08:00-07:00,1,21.0.2,All these fake reviews,"Chat half way works, then times out rep on other end takes 3-5 minutes to reply back I really believe the rep I stated to chat fell asleep, then time out, next up schedule a simple call back , yea right enter your phone number, reason,then click confirm , message failed, next up chat was me to download messenger yea right, I don’t due the web like that . Looking for another internet provider.",Switch internet provider.,Customer Support
63688928,Resses49,2025-07-28T17:50:21-07:00,5,21.0.2,Verizon,I Love this Company The Service is awesome and great,Positive customer experience,General Feedback
63530706,Vincent Jenks,2025-07-28T16:46:53-07:00,1,21.0.2,Useless Junk,"The most frustrating, buggy, infuriating trash I’ve ever used. All I wanted to do was pay off a device, but it’s completely broken. Terrible UI and experience.","Negative feedback, broken app.",technical/platform issues
62899571,Dugan211,2025-07-28T12:46:48-07:00,1,21.0.2,Dugan,Your service is horrible in Mississippi. Even T-Mobile kick your butt that’s a shame. I mean that’s just plain sorry.,Expressing service dissatisfaction,Customer Support
62350173,Just love it he,2025-07-28T09:49:23-07:00,5,21.0.2,New Home,I’m glad to be with Verizon my whole family uses Verizon Internet and Mobile. I was with a previous carrier whose name begin with X and I’m glad to be away from them. It was horrific.,Positive carrier switch,General Feedback
62287557,JasonWhittington,2025-07-28T09:30:44-07:00,1,21.0.2,Told get to try  feature free for a year and billed me anyway,Not pleasant experience,Dispute unauthorized billing.,Account & Billing
62256624,Moneybagzzzf,2025-07-28T09:21:32-07:00,1,21.0.2,Horribly designed app,The app is impossible to use and for a billion dollar company to allow this to happen for months just shows how much they care about their consumer experience. I will be looking for another service soon Verizon makes it impossible to pay your bill on app or internet wouldn’t recommend this service.,Leaving Verizon service,Account & Billing
59610976,Perks don’t work,2025-07-27T17:17:26-07:00,1,21.0.2,Perks,Disney+ perk doesn’t work.  They charged us for it but we can’t log in.  Niether Verizon or Disney plus seem to be able to help,Perk not working,technical/platform issues
59579781,Bmanator81,2025-07-27T17:04:34-07:00,1,21.0.2,Verizon stole from me,"I do not recommend upgrading phones through Verizon. They charged me twice - one for the phone it wanted, one for a mystery phone I didn’t order and never received. Once I realized what happened, I spent almost 6 months trying to get my refund. Was physically on the phone for almost 48 hours. Was promised so many times they would make it right. Never happened. Verizon stole almost $800 from me. I hate this company.",Warning against Verizon.,General Feedback
59556952,nick name for my reviews 222,2025-07-27T16:54:58-07:00,3,21.0.2,Longtime,"I’ve been with Verizon for about 5 years. I love them. Wish they’d get internet in my area, I also wish for long term clients there were better deals. It seems costs are getting more expensive by the year. I’ve thought of swapping simply due to costs, but they’ve always been my go to.",Loyalty despite cost concerns.,Account & Billing
59194143,Wordzplayzer,2025-07-27T14:25:28-07:00,1,21.0.2,Horrible new UI,New UI is making ever harder to find / change update.,Wants easier UI.,General Feedback
58962544,Paredyce,2025-07-27T12:59:38-07:00,1,21.0.2,3 Hour Customer Service Experience,"I’ve spent more than 3 hours on the customer service chat trying to resolve a 2FA issue because I’m not receiving pushes in order to go pay my bill. Instead I’ve gone through 3 different reps who all tried to upsell me instead of fix the issue. Their names are Alicia, REN, and Rachel. Hands down the worst customer service I’ve ever had. Verizon is not a premier provider anymore.",Resolve 2FA issue.,technical/platform issues
58697892,jhEclectic,2025-07-27T11:28:35-07:00,1,21.0.2,A Ridiculous App,"The app doesn’t recognize the very password used to sign in to Verizon account
Super Dumb
Technically speaking this app deserves Zero stars",Negative feedback on app,technical/platform issues
58680584,koko lolo 27,2025-07-27T11:22:51-07:00,1,21.0.2,Worst app ever,I would give this app 0 stars if I could. All I wanted to do was set up my internet and literally not a single function of this app worked.,Negative experience,General Feedback
58466958,Otherwise happy with app.,2025-07-27T10:14:36-07:00,1,21.0.2,Notifications that can’t be cleared.,Fix your app! Notifications show up in red that cannot be cleared! There is no way to fix or turn off.,App notification issue,technical/platform issues
57804459,fhhdyubfdyihvg,2025-07-27T07:00:17-07:00,1,21.0.2,Filled with bugs,This app is full of bugs!!!! Someone at Verizon should check to see what their sales are from customers using the app vs in-store and online! Because there probably isn’t any! This app makes it impossible!,Report app bugs.,technical/platform issues
56010192,turtle creek way,2025-07-26T19:33:57-07:00,5,21.0.2,Customer service,I always get great patient knowledgeable agents to work with.,Praising customer service.,Customer Support
54446444,CynthiaN84,2025-07-26T09:39:31-07:00,5,21.0.2,No complaints in 20 years.,"I have been with Verizon for my whole phone-having life, and the customer service is always patient and helpful. The service is great and I genuinely will never switch.","Customer loyalty, satisfaction",Customer Support
53857882,Sad Mountain,2025-07-26T06:47:06-07:00,1,21.0.2,Looping on login,Impossible to login - getting me locked out of our account… so annoying Verizon!,Login issues,technical/platform issues
53856885,elJefé403,2025-07-26T06:46:47-07:00,5,21.0.2,My Version,It was fast. It was easy. I’m pleased.,Pleased with experience,General Feedback
52870676,Dabmon,2025-07-26T00:51:40-07:00,5,21.0.2,Best so far…,"Started with cricket that was crazy times… since I’ve moved through other providers none made me really happy. Little to no tech support, Hidden fees etc… Verizon is now what I’m sticking with I’ve had little to no issues and they offer great deals!",Customer satisfaction with Verizon,General Feedback
52221268,ChuckD2013,2025-07-25T20:14:44-07:00,5,21.0.2,Love,Love my service,Positive service experience,Customer Support
51477496,DWells84,2025-07-25T15:13:24-07:00,5,21.0.2,Loyal Customer,Well Satisfied Customer,Customer well satisfied,General Feedback
51293222,$$$makinsonny,2025-07-25T14:01:42-07:00,5,21.0.2,loving it!,Been with them for a couple years now,Customer is satisfied.,General Feedback
50902436,8 ball pool number 1 hater,2025-07-25T11:41:58-07:00,1,21.0.2,Worse company,"Good deals and everything but what is the point of all that, when the data is always slow and so bad. Literally everywhere I go my phone internet is so slow, I truly hate this company bc of the internet.",Complaining about slow internet.,technical/platform issues
50832040,Anyandyp,2025-07-25T11:18:16-07:00,1,21.0.2,Horrible app redesign,Good luck trying to find an international plan or anything without pulling your hair out an AI does not help. It’s a horrible redesign.,Negative app experience,technical/platform issues
50434308,Zappem,2025-07-25T09:13:40-07:00,5,21.0.2,Excellent service,Love the staff they treated me very professional and wait time wasn’t bad at all and help me with my purchase,"Positive, appreciative, satisfied.",General Feedback
50015536,HashiramaWil,2025-07-25T07:15:15-07:00,1,21.0.2,Not different than others,"It’s the same thing with every internet provider. They sell you these internet speeds, yet every single speed test you do and even have THEM do- you’re never getting the numbers you’re PAYING FOR- And the app is just as bad with constant crashing and bad navigational menus.",Disappointed with service.,Customer Support
49627768,reddevils1968,2025-07-25T05:22:27-07:00,3,21.0.2,Notifications Are Persitent,Support button wasn’t helpful to report that the notification icon is persistent and does not go away. It’s coming from Take Action and clicking through that does not get rid of the notification. The Take Action notification is about a perk/benefit. Clicking it reveals the perk/benefit is not available. Annoying.,Persistent notification issue,technical/platform issues
47974636,coreysmith02,2025-07-24T18:32:58-07:00,1,21.0.2,App is still a failure,The recent Verizon app update or “remodel” is difficult to navigate and slow not to mention it’s virtually unappealing. Whoever Verizon has as there app developers should probably be fired as they just can’t seem to get it right. Ridiculous!,Negative app experience,technical/platform issues
46462129,Dr. Joanne Brause,2025-07-24T09:26:02-07:00,5,21.0.2,Absence of monthly bills Sent to family!!!,Help!!!,Needs bill assistance.,Account & Billing
46029021,pererthefixerman,2025-07-24T07:22:28-07:00,5,21.0.2,Verizon repairman Peter,"I had five issues with my Fios and this man Peter who I’ve grown to adore, he handled each and everyone of my problems with dignity, he knew his job very well he was very eloquent and you need more men on the job like this one. he was very soft-spoken he answered every question I had he went above and beyond he had to leave my apartment to hunt down the problem on the outside and that he did. Give this man a raise he definitely deserves one, he was kind enough to wear those booties I have a strict policy in my house about that he had no problem with it he was a gentleman and I I’m telling you to give this man a raise please if there’s a problem in the future please send him out to my house thank you.",Praise and request,General Feedback
45915516,Rockytopman77,2025-07-24T06:50:52-07:00,1,21.0.2,Stupid badges for marketing that never go away,"The app has badges that pop up for marketing garbage & never go away.  Congrats, you just got all notifications turned off for this trash app.",Disabling app notifications,General Feedback
45511832,Rated farkle,2025-07-24T04:50:39-07:00,4,21.0.2,New customer,It was hard to discover setting up account initially and not super easy to navigate at first,Difficulty setting up account.,Account & Billing
43343204,Luxliquida,2025-07-23T14:35:14-07:00,1,21.0.2,No option to decline TOS,"The button literally does nothing, not even close the app",Cannot decline TOS,Technical/platform issues
42911099,JorRos,2025-07-23T12:02:34-07:00,3,21.0.2,Verizon can have a better App,"The App is okay, but for the kind of company Verizon is, they can do way better than this.",Improve the app.,General Feedback
40190447,Bob Nickname2,2025-07-22T20:32:32-07:00,1,21.0.2,Scam Service,"So hard to navigate to find my account information, have to chat to a live agent to move/cancel my service. Unreal. All about promotions",Service difficult to use,technical/platform issues
37653631,FancellaNance,2025-07-22T06:21:06-07:00,1,21.0.2,Verizon customer service stinks!!!,"I would rate Verizon service a minus 10!!!   I was totally frustrated last night on a call with 2 reps. on the phone for over an hour and a half!!!!!! One rep should be able to handle both cable and cell service. And be able to take care of changes in a much more efficient and timely way! My requests weren’t met, and I am seriously considering switching providers!!!",Switching providers.,Account & Billing
37186252,Jjzsmm,2025-07-22T03:57:28-07:00,1,21.0.2,Inefficient,"Inefficient staff.
Waste of time, not just going to this store and trying to get problems solved but, VERIZON in general as a company.
Scammers!",Negative experience/frustration,General Feedback
35397329,Fembot25,2025-07-21T16:10:30-07:00,5,21.0.2,Excellent customer service,Thank you so much,Expressing customer satisfaction,General Feedback
